3.0,140.0,43.5,0.0833,862.8417,0.0254,3.889,163.0,240.0,213.3555
3.0,135.0,41.9063,0.079,690.3291,0.0259,3.834,167.0,239.0,213.7188
2.0,126.0,21.0586,0.0406,308.3583,0.0684,3.1702,174.0,240.0,227.5859
4.0,197.0,77.4805,0.089,874.4709,0.0243,3.9442,155.0,239.0,197.2773
7.0,193.0,88.8398,0.0884,810.1126,0.0223,3.9318,150.0,236.0,186.0195
5.0,190.0,57.1836,0.0568,388.4958,0.0398,3.5269,135.0,236.0,195.3125
5.0,144.0,42.0391,0.0418,250.875,0.0543,3.2405,94.0,225.0,179.1484
3.0,130.0,18.2188,0.0297,180.3792,0.1084,2.8236,155.0,235.0,216.5117
3.0,136.0,44.7813,0.0592,433.3792,0.0394,3.5576,152.0,238.0,205.6914
3.0,124.0,28.5781,0.0359,234.35,0.1251,2.8862,159.0,240.0,220.0352
3.0,187.0,86.0547,0.0756,624.3583,0.0265,3.7939,150.0,239.0,189.0586
4.0,191.0,81.0234,0.0869,787.4542,0.0257,3.8711,150.0,237.0,190.6914
3.0,169.0,57.9648,0.0844,802.8417,0.0263,3.8562,153.0,237.0,203.0938
5.0,187.0,78.8047,0.0923,883.4042,0.0224,3.9528,151.0,236.0,193.2969
6.0,181.0,73.2891,0.0972,1046.5958,0.0217,4.0206,152.0,234.0,194.8008
4.0,148.0,32.0625,0.0608,546.9709,0.0388,3.5703,155.0,237.0,218.5234
4.0,121.0,33.7031,0.0579,414.2751,0.0358,3.5909,175.0,236.0,218.7148
7.0,155.0,59.2305,0.0837,745.0083,0.025,3.8622,162.0,234.0,203.8516
5.0,116.0,36.0195,0.0703,568.975,0.0315,3.6985,171.0,234.0,216.6875
4.0,78.0,12.1563,0.0215,107.8208,0.1449,2.5383,193.0,235.0,229.9531
4.0,128.0,22.0547,0.0403,298.7,0.0823,3.1272,172.0,236.0,224.1055
4.0,127.0,26.6719,0.0559,403.9792,0.0361,3.5378,167.0,234.0,220.6367
6.0,150.0,44.6367,0.0844,811.0958,0.0267,3.8723,161.0,235.0,212.1094
6.0,141.0,51.9727,0.0799,709.2292,0.0259,3.8191,162.0,237.0,208.5352
6.0,140.0,49.7695,0.0864,789.9916,0.0236,3.896,165.0,237.0,210.7266
5.0,78.0,17.043,0.0299,140.3542,0.0764,2.9614,195.0,238.0,230.6953
6.0,115.0,23.8047,0.042,342.0583,0.0733,3.1733,176.0,237.0,226.625
7.0,141.0,32.9063,0.067,547.2209,0.0325,3.6859,166.0,237.0,218.8398
7.0,145.0,40.3945,0.0629,490.3209,0.0326,3.6723,165.0,235.0,214.9297
9.0,114.0,36.5625,0.053,326.45,0.0377,3.4987,184.0,234.0,218.4648
12.0,105.0,41.4961,0.0588,360.875,0.0347,3.5334,181.0,233.0,216.2734
12.0,137.0,51.0352,0.072,584.0667,0.028,3.7435,167.0,233.0,210.4688
10.0,182.0,106.7813,0.1244,1534.4332,0.019,4.1332,151.0,233.0,176.25
22.0,198.0,129.5039,0.0876,801.9874,0.0233,3.9221,151.0,225.0,166.3086
6.0,215.0,108.1289,0.0938,950.525,0.0233,3.973,152.0,236.0,179.5859
5.0,213.0,83.1211,0.0781,701.7667,0.027,3.8126,153.0,237.0,190.1406
3.0,177.0,26.8125,0.0349,271.0792,0.1171,2.8282,154.0,239.0,223.1211
3.0,195.0,58.9219,0.0575,614.7667,0.1009,3.1781,153.0,240.0,209.625
7.0,201.0,121.0664,0.0758,676.35,0.0275,3.7934,77.0,237.0,154.6992
8.0,124.0,43.4063,0.0398,230.2292,0.0509,3.243,59.0,227.0,172.6563
8.0,166.0,69.9609,0.0659,542.725,0.0317,3.6293,150.0,233.0,190.8125
13.0,178.0,91.9688,0.1058,1085.3584,0.0202,4.0505,149.0,233.0,183.2969
7.0,189.0,103.625,0.0889,813.8126,0.0233,3.9156,150.0,236.0,178.7422
7.0,188.0,84.0508,0.0947,901.7875,0.021,3.9842,150.0,236.0,187.5078
7.0,171.0,73.6289,0.08,740.1833,0.0255,3.8339,151.0,236.0,193.3711
6.0,189.0,65.3516,0.0848,797.3792,0.0241,3.8927,150.0,236.0,199.9023
9.0,178.0,103.9961,0.1142,1293.8959,0.0186,4.1176,151.0,232.0,176.5898
9.0,187.0,76.4453,0.0962,953.1791,0.0214,3.9942,150.0,231.0,191.9688
10.0,169.0,68.0156,0.0867,817.6666,0.0233,3.9259,154.0,231.0,196.6953
10.0,166.0,74.7852,0.0996,1016.4583,0.0216,4.013,155.0,230.0,194.5898
11.0,157.0,65.6172,0.0945,922.4584,0.0237,3.9493,160.0,231.0,199.9414
